Nome Empresa,Telefone,Celular/WhatsApp,Facebook,Email,Site,Data Extração
TERMO SERVICOS E TECNOLOGIA,(19) 3552-0492,,,,http://www.termotecmogi.com.br/,09/02/2026 16:41:28
BORDIGNON TECH,(19) 3862-0823,,,,http://www.bordignonestofados.com.br/,09/02/2026 16:41:40
TAROSSI ENGENHARIA,(19) 07777-5073,(19) 99929-6679,https://www.facebook.com/TarossiEngenharia/,bruno.tarossi@hotmail.com.br,"https://grupofasitec.com.br/mogi-mirim-comemora-256-anos-uma-cidade-historica-e-inovadora-celebra-seu-aniversario-com-o-sicon-impulsionando-o-futuro/#:~:text=Hoje%2C%2022%20de%20outubro%2C%20Mogi%20Mirim%2C%20no,paulista%2C%20celebra%20seus%20256%20anos%20de%20funda%C3%A7%C3%A3o!",09/02/2026 16:43:33
RESPIRAR FISIOTERAPIA,(19) 3841-5642,(19) 99452-5426,https://www.instagram.com/respirarfisioterapia_/,,,09/02/2026 16:45:29
MANTOVANI PLANO DE ASSISTENCIA FUNERAL FAMILIAR,(19) 3804-3979,(19) 99407-9865,https://www.instagram.com/planosmantovani/,,,09/02/2026 16:47:43
HOFFDORP,,,,,https://prp.unicamp.br/wp-content/uploads/sites/4/2022/09/faepex_relatorios_2005_projetoscontratados.pdf,09/02/2026 16:48:47
LM CONSULTORIA,(19) 3805-2242,(19) 99452-5426,https://www.instagram.com/lmcapconsultoria/,elizio@lmcap.com.br,,09/02/2026 16:51:10
COUTO AMBIENTAL ENGENHARIA,(19) 99483-3417,(19) 99452-5426,https://www.instagram.com/coutoambiental.eng/,taynara@coutoambiental.com.br,http://www.coutoambiental.com.br/,09/02/2026 16:52:34
FMTER-MM,(19) 3814-2119,(19) 97151-0718,https://www.instagram.com/radiomogimixfm/,,https://pt.slideshare.net/slideshow/tse-listadadosemissorassitedestaque210820144/38252778,09/02/2026 16:54:00
GRUPO CORTE,(19) 3552-5470,(19) 99629-8126,https://www.facebook.com/miuralaser/,miuralaser@gmail.com,,09/02/2026 16:55:25
OLR ENGENHARIA,(19) 99693-0743,(19) 99452-5426,https://www.facebook.com/rodolfo.rossetto.3/,,"https://www.contabilizei.com.br/contabilizei-responde/como-consultar-socios-de-um-cnpj/#:~:text=A%20maneira%20mais%20simples%20para%20consultar%20s%C3%B3cios,e%20apenas%20com%20o%20n%C3%BAmero%20do%20CNPJ.",09/02/2026 16:55:50
SALUSTIANO MULTIMARCAS,(19) 99940-0140,(19) 99452-5426,https://www.instagram.com/salustiano_multimarcas/,,,09/02/2026 16:56:13
NORDESTE VIAGENS,,(19) 99452-5426,https://www.facebook.com/tournorthturismo/videos/excurs%C3%A3o-mini-nordeste-2026-salvador-aracaju-macei%C3%B3-cmaragogi-recife-cporto-de-g/1397991674781516/,,https://tokdehistoria.com.br/tag/brasil/page/5/,09/02/2026 16:56:38
PAES E DOCES SAMAMBAIA,(19) 99853-6025,(19) 99452-5426,https://www.instagram.com/reel/DQH7vBykT9L/,,"https://grupofasitec.com.br/mogi-mirim-comemora-256-anos-uma-cidade-historica-e-inovadora-celebra-seu-aniversario-com-o-sicon-impulsionando-o-futuro/#:~:text=Hoje%2C%2022%20de%20outubro%2C%20Mogi%20Mirim%2C%20no,paulista%2C%20celebra%20seus%20256%20anos%20de%20funda%C3%A7%C3%A3o!",09/02/2026 16:58:21
VILA RICA ARTESANATOS,(19) 7900-0111,(19) 99452-5426,https://www.instagram.com/reel/DQH7vBykT9L/,,"https://grupofasitec.com.br/mogi-mirim-comemora-256-anos-uma-cidade-historica-e-inovadora-celebra-seu-aniversario-com-o-sicon-impulsionando-o-futuro/#:~:text=Hoje%2C%2022%20de%20outubro%2C%20Mogi%20Mirim%2C%20no,paulista%2C%20celebra%20seus%20256%20anos%20de%20funda%C3%A7%C3%A3o!",09/02/2026 16:59:48
BIA,(19) 98811-2471,(19) 99452-5426,https://www.instagram.com/biaeuquero/,,,09/02/2026 17:00:11
